Data_Mensal,1.ICMS_Total,2.Taxa_SELIC,3.188 - Indice nacional de precos ao consumidor (INPC) - Var. % mensal Fonte: IBGE,4.433 - Indice nacional de precos ao consumidor-amplo (IPCA) - Var. % mensal Fonte: IBGE,5.4380 - PIB mensal - Valores correntes (RS milhoes) - RS (milhoes) - Fonte: BCB-Depec,6.13244 - Exportacao de bens - Maranhao - USS (mil) - Fonte: MDIC/Secex,7.13245 - Importacao de bens - Maranhao - USS (mil) - Fonte: MDIC/Secex,8.13247 - Saldo da balanca comercial - Maranhao - USS (mil) - Fonte: MDIC/Secex,9.13011 - Empregos formais gerados - Maranhao - Unidades - Fonte: MTb,10.Salario_Minimo,11.Cotacao_Dolar,12.Cotacao_Barril_Petroleo,ICMS,SELIC,INPC,IPCA,PIB,EXPOR_MA,IMPOR_MA,BALANCA_MA,GER_EMP_MA,SM,DOLAR_COT,PETRO_COT
01/01/1999,39180814,2.18,0.65,0.7,80936.3,18934,27823,-8890,-582,130,1.5011,104.888,0.0102300451263518,0.640625,0.31328320802005,0.372972972972973,0.0115715600798797,0.00484943233562018,0.0210465982417048,0.743471067345495,0.489196488858879,0.0138461538461538,0.0995985678637301,0.765367491365221
02/01/1999,31030644,2.38,1.29,1.05,80929.1,63187,6618,56568,-497,130,1.9129,117.245,0.00369101523166454,0.703125,0.473684210526316,0.467567567567568,0.0115636061305948,0.0720174852771538,0.00418944561789553,0.787000388357779,0.4949358541526,0.0138461538461538,0.188955191493979,0.864854637822345
03/01/1999,39456258,3.33,1.28,1.1,88802.6,56668,35624,21045,-463,130,1.896,97.129,0.010451038866398,1,0.471177944862155,0.481081081081081,0.0202615810882483,0.0621228219294518,0.0272480907018951,0.763377728479393,0.497231600270088,0.0138461538461538,0.185288054681567,0.702899192477075
04/01/1999,29181138,2.35,0.47,0.56,87739,35009,12961,22048,-96,130,1.6933,86.505,0.00220712286814286,0.69375,0.268170426065163,0.335135135135135,0.0190866060244317,0.0292483759334588,0.00923188462250869,0.764044719664204,0.522012153950034,0.0138461538461538,0.141304111967017,0.617364560773547
05/01/1999,38819927,2.02,0.05,0.3,89223,65147,46634,18513,104,136,1.6827,74.219,0.00994049891055461,0.590625,0.162907268170426,0.264864864864865,0.0207260033492755,0.0749924109040131,0.0360006137100602,0.76169395811056,0.535516542876435,0.0184615384615385,0.139004014321363,0.518449040714291
06/01/1999,37013339,1.67,0.07,0.19,91746.9,72156,16927,55230,358,136,1.7646,81.05,0.00849104044043886,0.48125,0.167919799498747,0.235135135135135,0.0235141939882063,0.08563080565843,0.0123847008123709,0.786110623447234,0.552667116812964,0.0184615384615385,0.156775523489205,0.573445941050021
07/01/1999,39334523,1.66,0.74,1.09,91230.4,58081,19083,38998,619,136,1.7995,83.538,0.010353368657773,0.478125,0.335839598997494,0.478378378378378,0.0229436085985285,0.0642675004553458,0.0140986371979843,0.775316405190162,0.570290344361918,0.0184615384615385,0.164348486492351,0.593477018203483
08/01/1999,41229792,1.57,0.55,0.56,92283.4,67276,32101,35175,-210,136,1.88,74.489,0.0118739775100391,0.45,0.288220551378446,0.335135135135135,0.0241068736814534,0.0782238479752292,0.0244474423315259,0.772774124732007,0.514314652261985,0.0184615384615385,0.181816209178692,0.520622831241395
09/01/1999,31844149,1.49,0.39,0.31,90611.8,56723,23908,32815,285,136,1.8973,70.747,0.00434370511598322,0.425,0.24812030075188,0.267567567567568,0.0222602317891293,0.0622063019853075,0.0179343250739513,0.771204733708923,0.547738014854828,0.0184615384615385,0.185570142128675,0.49049570475094
10/01/1999,48408287,1.38,0.96,1.19,95872.4,59374,37047,22327,761,136,1.9687,75.166,0.017633414847403,0.390625,0.390977443609023,0.505405405405406,0.0280716964569685,0.0662300406775545,0.0283793205148487,0.764230253602949,0.579878460499662,0.0184615384615385,0.201063252685256,0.526073409711208
